id,brand_name,generic_name,species,dose_mg_per_kg_min,dose_mg_per_kg_max,concentration_value,concentration_unit,concentration_ml,dosage_form,route,frequency,unit_description,notes
"76","Fucidin / Oxy-G","Topical Antibiotic","dogs and cats","0","0","20","mg/g","1","cream/spray","Topical","q8-12h","Cream, Spray","Topical antibiotic. Apply to affected area BID-TID. | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"77","Healsol / Iurexoul","Healing Promoter","dogs and cats","0","0","1","application","1","spray/cream","Topical","q12h","Spray, Cream","Wound healing promoter. Apply to wounds BID. | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"78","Cyteal","Skin Antiseptic","dogs and cats","0","0","1","dilute 1:9","10","solution","Topical","As needed","Solution (dilute 1:9)","Antiseptic wash. Dilute 1:9 with water before use. | DOSING: Apply topically to affected area BID or as directed on label. For external veterinary use only."
"79","Synulox","Amoxicillin + Clavulanic acid","dogs and cats","12.5","12.5","175","mg/ml","1","injectable","IM/SC","q24h","Veterinary injectable","Category: Antibiotic (Potentiated Penicillin). Beta-lactam antibiotic with clavulanate beta-lactamase inhibitor. Broad-spectrum bactericidal activity against Gram-positive and Gram-negative aerobes/anaerobes. Indications: Skin, soft tissue, urinary, respiratory, and periodontal infections. Warnings: Contraindicated in penicillin hypersensitivity; avoid oral use in small herbivores. Ref: Plumb's 9th Ed. p. 62."
"80","Lacteol Forte (cat)","Lactobacillus LB (Probiotic)","cat","0","0","10","billion CFU/sachet","1","oral sachet","PO","q12-24h","Sachet 10 billion CFU (10×10⁹); Pack of 6 sachets","🐱 CATS: 1/4 to 1/2 sachet per cat daily (1-5 billion CFU/day). For therapeutic use (IBD, severe diarrhea): up to 1/2 sachet BID. Mix with food. Human product used in veterinary practice. Indications: Antibiotic-associated diarrhea prevention, acute infectious diarrhea, H. pylori therapy support, GI microbiome restoration."
"81","Lacteol Forte (small dog <10kg)","Lactobacillus LB (Probiotic)","dog","0","0","10","billion CFU/sachet","1","oral sachet","PO","q12-24h","Sachet 10 billion CFU (10×10⁹); Pack of 6 sachets","🐕 SMALL DOGS (<10kg): 1/4 to 1/2 sachet daily (2.5-5 billion CFU). For therapeutic use: up to 1/2 sachet BID. Mix with food. Human product used in veterinary practice. Indications: Antibiotic-associated diarrhea, acute GI infections, post-antibiotic gut restoration."
"82","Lacteol Forte (medium dog 10-25kg)","Lactobacillus LB (Probiotic)","dog","0","0","10","billion CFU/sachet","1","oral powder","PO","q12-24h","Sachet 10 billion CFU (10×10⁹); Pack of 6 sachets","🐕 MEDIUM DOGS (10-25kg): 1/2 to 1 sachet daily (5-10 billion CFU). For therapeutic use: up to 1 sachet BID. Mix with food. Human product used in veterinary practice. Indications: Antibiotic-associated diarrhea, acute GI infections, post-antibiotic gut restoration."
"83","Lacteol Forte (large dog >25kg)","Lactobacillus LB (Probiotic)","dog","0","0","10","billion CFU/sachet","1","oral powder","PO","q12-24h","Sachet 10 billion CFU (10×10⁹); Pack of 6 sachets","🐕 LARGE DOGS (>25kg): 1 to 2 sachets daily (10-20 billion CFU). For therapeutic use: up to 1 sachet BID. Mix with food. Human product used in veterinary practice. Indications: Antibiotic-associated diarrhea, acute GI infections, post-antibiotic gut restoration."
"84","Flunix (Bayer)","Flunixin Meglumine","dogs and cats","1.1","1.1","50","mg/ml","1","injectable","IM/IV","q12h","100 ml vial (Bayer)","Category: NSAIDs. COMPOSITION: Each 1 ml contains: - Flunixin (as meglumine) 50 mg PROPERTIES: Non-steroidal antiinflammatory, analgesic and antipyretic for use in horses, cattle, pigs and dogs. PHARMACOLOGY: - Flunixin meglumine is a non-steroidal antinflammalory agent with analgesic and antipyretic activity. Flunix... | Ref: Ref: Plumb's 9th Ed. p. 488."
"85","Ovarelin (Ceva Co.)","Gonadorelin","large_animal","0","0","15","mg/ml","1","injectable","IV/IM","single dose","20 ml vial (Ceva Co.)","Category: GnRh hormone. Natural GnRh hormone Composition for 1 ml: Active substance (s): - Gonadorelin (as diacetate tetrahydrate) 50 μg Excipients - Benzyl alcohol (E1519) 15 mg - Potassium dihydrogen phosphate - Dipotassium phosphate - Sodium chloride - Water for injections PHARMACEUTICAL FORM Clear colourless solution f... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 518."
"86","Receptal (MSD Co. (Intervet))","Buserelin","large_animal","0","0","20","mg/ml","1","injectable","IV/IM","single dose","10 ml vial (MSD Co. (Intervet))","Category: GnRh hormone. Synthetic GnRh hormone Ready-to-use injection solution of a synthetic releasing hormone that releases luteinizing hormone (LH) and follicle-stimulating hormone (FSH) from the anterior lobe of the pituitary COMPOSITION Each ml Receptal contains 0.0042 mg buserelin acetate equivalent to 0.004 mg buser... | DOSING: Per-animal fixed dose. Cattle: 100-250 mcg IM/IV. Horses: 50-100 mcg IM. (NOT weight-based mg/kg) | Ref: Ref: Plumb's 9th Ed. p. 156."
"87","Hepanil 34 (Bimeda Co.)","Nitroxynil","large_animal","10","12.5","340","mg/ml","1","injectable","SC","single dose (repeat in 4-6 weeks if needed)","100 ml vial (Bimeda Co.)","Category: Anthelmintic. Anthelmintic (Halogenated Phenol) HEPANIL 34 FOR CATTLE AND SHEEP PRESENTATION: A bright, orange-red solution for injection, containing Nitroxynil Injection BP (Vet) 34% w/v. USES: HEPANIL 34 solution is indicated for the treatment of fascioliasis (infestations of mature and immature Fasciola hepati... | Ref: Cattle 10 mg/kg SC; Sheep/Goats 10-12.5 mg/kg SC. Plumb's Vet Drug Handbook."
"88","Finadyne (MSD Co. (Intervet))","Flunixin Meglumine","large_animal","1.1","2.2","83","mg/ml","1","injectable","IM/IV","q8h","50 ml vial (MSD Co. (Intervet))","Category: NSAIDs. DESCRIPTION Each ml contains - Flunixin meglumine 83 mg (eq to 50 mg flunixin) Target species: Cattle & Horses ACTIVITY Flunixin meglumine is a potent, non-narcotic, non-steroidal analgesic agent with anti-inflammatory and anti-pyretic activity. It is significantly more potent than pentazocine, mepe... | Corrected dose: 1.1-2.2 mg/kg (was 11 mg/kg which is 10x the correct dose). Ref: Plumb's Vet Drug Handbook."
"89","Diflam (Pharma swede)","Diclofenac sodium","large_animal","1","2.5","100","mg/ml","1","injectable","IM","q24h IM","100 ml vial (Pharma swede)","Category: NSAIDs. Composition: Each 1 ml contains - Diclofenac sodium 25 mg Properties: Diclofenac sodium, sodium 2-( 2,6 dichlorophenyl) amino]phenylacetate is one of the non-steroidal anti-ipflammatory drugs (NSAIDS), belongs to the phenyl acetic acid derivatives. Diclofenac sodium as anti-inflammatory, analgesic a... | Ref: Cattle 1 mg/kg IM q24h. Dogs/Cats 1-2 mg/kg PO q12h. Merck Vet Manual. | Ref: Cattle 1 mg/kg IM q24h. Merck Vet Manual."
"90","Dexarite (Atco pharma)","Phenylbutazone + Dexamethasone","horse","2.2","4.4","100","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Atco pharma)","Category: NSAIDs + SAIDs. Composition Each 100 ml contains: - 18gm phenylbutazone - 0.035gm dexamethasone. Indications and Usage Horses and ponies: feverish illnesses including mastitis and traumatic reticulitis; diseases of locomotive systems including arthritis, periarthritis, tendonitis, tendovaginitis, bursitis, myositis... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"91","Phenylo-ject (Adwia)","Phenylbutazone","dogs and cats","2.2","4.4","100","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Adwia)","Category: NSAIDs. Composition: Each 100 ml contains - Phenylbutazone 20 gm Indications: It is used to relief the inflammatory conditions associate disorders with muscoskeletal system in horses and dogs Dosage & Administrations: » It may be administered once daily for not more than 5 successive days. - Horses: 1 ml / ... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"92","Xyla-ject (Adwia)","Xylazine","dogs and cats","0.05","0.3","23.3","mg/ml","1","injectable","IV/IM","q24h","100 ml vial (Adwia)","Category: Anesthetic. Xyla-Ject Injectable Solution For Veterinary Use Only. COMPOSITION: Each 1 ml contains: - Xylazine Hydrochloride 23.3 mg (eq to 20 mg Xylazine base) USES: - Is a sedating, pre-anaesthetic medication, general anaesthesia, in combination with Ketamine & epidural anaesthesia in cattle, horses, dogs & c... | Species-specific doses: Dogs/Cats 0.5-1.1 mg/kg IV/IM. Horses 0.5-1.1 mg/kg IV. Cattle 0.05-0.15 mg/kg IV."
"93","Dormosedan (Zoetis)","Detomidine HCL","horse","0.01","0.04","100","mg/ml","1","injectable","IV/IM","single dose","20 ml vial (Zoetis)","Category: sedative, analgesic & muscle relaxant. Properties: as xylazine but 80-100 time greater in sedation and analgestic effect Indications: • Used safely in horses for a variety of minor surgical and diagnostic procedure Dosage: • 1 or 2 mL per 500 Kg horse IM or IV • I/V: 5-20 µg/kg • I/M: 10-40 µg/Kg | Ref: Horses 10-40 mcg/kg (0.01-0.04 mg/kg) IV/IM. Cattle 30-40 mcg/kg IM. Plumb's."
"94","Valpam – Neuril (N/A)","Diazepam","dogs and cats","0.5","1","1","mg/ml","1","injectable","IV/IM","q24h","Ampoule (N/A)","Category: anxiolytic and sedative. Indication: • Part of anesthetic combination as muscle relaxant (control of convulsions) + calming effect M.O.A: • Increasing the effect of neurotransmitter (GABA) which reducing neuronal excitability in brain. Dosage: • Cattle: 0.5-1 mg/kg I/M • Equine: 0.02-0.1 mg/kg I/V • Dog-Cat: 0.1–0.4 mg/kg, ..."
"95","Dormicum (N/A)","Midazolam","large_animal","1.2","1.2","15","mg/3ml","3","injectable","IV","q24h","5 x 3 ml Amp (N/A)","Category: anxiolytic and sedative. Composition: Midazolam 15 mg / 3 ml Indication: • Part of anesthetic combination as muscle relaxant (control of convulsions) + calming effect. M.O.A: • Increasing the effect of neurotransmitter (GABA) which reducing neuronal excitability in brain. Dosage: • Cattle: 0.6 and 1.2 mg/kg I/V • Equine: 0...."
"96","Propofol 1% (N/A)","Propofol","dogs and cats","6","8","20","mg/20ml","20","injectable","IV","q24h","20 ml vial (N/A)","Category: Anesthetic. Composition: Propofol 20 mg / 20ml Properties: • Rapid onset of action • Induction of general anesthesia in dogs and cats • Recovery after 20 min in dogs and 30 min in cats Dose: 6-8 mg / Kg I/V"
"97","Avicort","Dexamethasone","large_animal","0.05","0.2","2","mg/ml","1","injectable","IM/IV","q24h","100 ml vial (Avico)","Category: SAIDs. Composition: Each 1 ml contains: - Dexamthasone Sodium Phosphate 2 mg Properties - Dexamethasone is readily absorbed into tissue, and rapidly distributed to kidneys, liver, muscle, and intestines. - It is metabolized in the liver and primarily excreted by the kidneys. - Dexamethasone is a synthetic ... | Ref: Ref: Plumb's 9th Ed. p. 347."
"98","Histacure (Pharma swede)","Diphenhydramine HCL","large_animal","1","2","100","mg/ml","1","injectable","IV/IM","q8-12h","100 ml vial (Pharma swede)","Category: Antihistamine. Composition: Each 1 ml contains - Diphenhydramine Hydrochloride 20 mg Properties: - Diphenhydramine is an antihistaminic substance. It acts like other antihistamines through inhibition of histamine at H1 receptors. - It is also has substantial sedative, anticholinergic, antitussive, and antiemetic e... | Ref: Dogs/Cats 1-2 mg/kg IV/IM/PO q8-12h. Cattle/Horses 0.5-1 mg/kg IV slow. Plumb's."
"99","Dexaphan (Pharma swede)","Dexamethasone","large_animal","0.02","0.1","100","mg/ml","1","injectable","IV/IM","single dose or q24h (taper)","100 ml vial (Pharma swede)","Category: SAIDs. Composition: Each 1 ml contains: - Dexamethasone sodium phosphate 2 mg (Equivalent to 1.52 mg Dexamethasone). Properties: Dexamethasone is a synthetic corticosteroid with potent anti-inflammatory action. The mechanism by which corticosterioids exert their effect at cellular level remains unclear how... | Ref: Cattle/Horses anti-inflammatory: 0.02-0.1 mg/kg IV/IM. Ketosis (cattle): 1 mg/cow. Plumb's."
"100","Dexacortyl (Coophavet Co.)","Dexamethasone","large_animal","0.02","0.1","100","mg/ml","1","injectable","IV/IM","single dose or q24h (taper)","100 ml vial (Coophavet Co.)","Category: SAIDs. Composition: Each 100 ml contains: - Dexamethasone sodium phosphate 200 mg Indications: In cattle, sheep, goats & pigs: • Ketosis (acetonemia) • Allergic reactions • Eczyma • Mastitis • Milk fever • Pneumonia (asthma) • Arthritis and inflammation of joint. In horses: Inflammation of Musclo-skeletal ... | Ref: Cattle/Horses anti-inflammatory: 0.02-0.1 mg/kg IV/IM. Ketosis (cattle): 1 mg/cow. Plumb's."
"101","Kenamethasone 20 (El kenana group)","Dexamethasone","dogs and cats","0.05","0.2","100","mg/ml","1","injectable","IV/IM","q12-24h (taper)","100 ml vial (El kenana group)","Category: SAIDs. COMPOSITION Each 1 ml contains: - Dexamethasone sodium phosphate 2.64 mg ( eq to Dexamethasone base 2 mg) INDICATIONS • Cattle, buffaloes, sheep and goats: - Ketosis, Allergic reactions, Mastitis, Milk fever, Eczema, Asthma, Arthritis & Inflamatory joint lesions. • Horses, dogs and cats: - inflammat... | Ref: Dogs/Cats anti-inflammatory: 0.05-0.2 mg/kg IV/IM/PO q12-24h. Shock: 2-4 mg/kg IV. Plumb's."
"102","Dexasone 0.2% (Memphis)","Dexamethasone","large_animal","0.02","0.1","2","mg/ml","1","injectable","IV/IM","single dose or q24h (taper)","100 ml vial (Memphis)","Category: SAIDs. Composition: Each ml contains: - Dexamethasone (as Sodium phosphate) 2 mg Properties: Dexamethasone is a glucocorticoids has a marked anti-inflammatory activity by suppressing the inflammatory reaction in a wide variety of conditions as in cases of respiratory diseases, gastrointestinal diseases, in... | Ref: Cattle/Horses anti-inflammatory: 0.02-0.1 mg/kg IV/IM. Ketosis (cattle): 1 mg/cow. Plumb's."
"103","Prednl-ject (Adwia)","Predinsolone acetate","large_animal","0.5","2","100","mg/ml","1","injectable","IM","q12-24h (taper)","100 ml vial (Adwia)","Category: SAIDs. Properties: Potent steroidal analgesic, anti-inflammatory and anti-allergic. Indications: • Bovin Ketosis (acetonaemia) • Inflammatory conditions of muscles and joints , rheumatoid arthritis , bursitis, dermatitis. • Insect bites, and snake bites in animals • Pregnancy toxaemia in ewes. I/M: • Cattl... | Ref: Dogs/Cats 0.5-2 mg/kg PO/IM anti-inflammatory; Large animals 0.5-1 mg/kg IM. Plumb's."
"104","Predef 2x (Zoetis)","Isoflupredone Acetate","cattle","0.01","0.03","100","mg/ml","1","injectable","IM","single dose IM","100 ml vial (Zoetis)","Category: SAIDs. Properties: • Potent steroidal analgesic, anti-inflammatory and anti-allergic ""For Ruminant"". • Long-lasting, 48 hour gluconeogenic activity 10x than prednisolone. • Increases glucose levels quickly, with levels returning to normal within 8-24 hours. Indications: • Severe toxicity, bovine ketosis, m... | Ref: Cattle 0.01-0.03 mg/kg IM (ketosis, inflammation). Plumb's Vet Drug Handbook."
"105","Depo-medrol (Zoetis)","Methylprednisolone acetate","dogs and cats","0.5","2","100","mg/ml","1","injectable","IM","q12-24h (taper)","20 ml vial (Zoetis)","Category: SAIDs. Indications: • Treat certain allergies, skin condition and type of arthritis • Used in horses, dog and cat • Available in two concentrations, 20 mg per mL and 40 mg per mL. Dosage: Horse: • I/M: 200 mg (10ml) • Intra-synovia: 40-240 mg (120 average) (2-12ml) Dog: • I/M: 20 mg (1ml) • Intra-synovia: ... | Ref: Dogs/Cats 0.5-2 mg/kg PO/IM q12-24h anti-inflammatory; immunosuppressive 2-4 mg/kg. Plumb's."
"106","Buta-fenil (Tornel)","Phenylbutazone","horse","2.2","4.4","15","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Tornel)","Category: NSAIDs. Composition: Each ml contains: - Fenilbutazone 200 mg - DiBenzilic Alcohol 1.5 % - Water c.b.p 1 ml Species Equines and bovines. Administration Route - Slow intravenous. Dose - Horses: 5 ml to 10 ml, for each 450 kg / body weight. - Don't exceed for more than 5 days. Indications - Keep in a cool dry... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"107","Opi-arthridine (OPI pharma)","Phenylbutazone","horse","2.2","4.4","20","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (OPI pharma)","Category: NSAIDs. Composition Each 1 ml contains: - Phenylbutazone 200 mg - Sodium salicylate 20 mg/ml - Pipperment + mentol + Eucalyptus oil + lemon oil Indications and Usage Ponies and horses: musculoskeletal disorders such as tendinitis, arthritis, bursitis, and neuritis; visceral pains (colic); laminitis; luxatio... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"108","Phenylomed (Arabcomed)","Phenylbutazone","large_animal","2.2","4.4","100","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Arabcomed)","Category: NSAIDs. Composition Each 100 ml contains: - Phenylbutazone 20 gm Properties Phenylbutazone has analgesic, anti-inflammatory, antipyretic, and mild uricosuric properties. The proposed mechanism of action is by the inhibition of cyclooxygenase, thereby reducing prostaglandin synthesis. Other pharmacologic act... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"109","Phenyl-D 20% (Delta Pharma)","Phenylbutazone","horse","2.2","4.4","200","mg/ml","1","injectable","IV","q24h (horses), q48h (cattle)","100 ml vial (Delta Pharma)","Category: NSAIDs. Composition: Each 1ml contains: – Phenyl butazone 200 mg. Indications: Phenyl-D 20% is used for relief and treatment of pain associated with inflammatory conditions in musculoskeletal disorders in horses and ponies as: 1. Osteoarthritis of medial and distal bones of the hock. 2. Arthritis of spine a... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"110","Fenylbutazone-20 (VMD Pharma)","Phenylbutazone","dogs and cats","2.2","4.4","100","mg/ml","1","intrauterine solution","Intrauterine","q24h (horses), q48h (cattle)","100 ml vial (VMD Pharma)","Category: NSAIDs. Composition: Each 1 ml contains: - Phenylbutazon 200 mg Species: cattle, horse, cat and dog Indications: - Arthritis, bursitis, myositis, tendinitis, tendo vaginitis and neuritis, mastitis and metritis - Painful injury (such as luxation, sprain, muscle damage), enzootic pneumonia Dosage and Administ... | Ref: Horses 2.2-4.4 mg/kg IV/PO q24h. Cattle 10 mg/kg PO (rarely used). Plumb's. Do NOT use in cats."
"111","Ketomed 10% (Arabcomed)","Ketoprofen","large_animal","2","3","100","mg/ml","1","injectable","IV","q24h max 3-5 days","100 ml vial (Arabcomed)","Category: NSAIDs. Composition Each 1 ml contains: - Ketoprofen 100 mg Properties Ketoprofen is a derivative of phenylpropionic acid, and belongs to the non-steroidal anti-inflammatory drugs. Like all such substances, its principal pharmacological actions are anti-inflammatory, analgesic and anti-pyretic. The mechanis... | Ref: Horses 2.2 mg/kg IV q24h. Cattle 3 mg/kg IV q24h. Plumb's Vet Drug Handbook."
